gid,altura,lugares_disponibles,garage,st_asgeojson
24,601,17,5,"{""type"":""LineString"",""coordinates"":[[-58.8428521442654,-27.4647615146858],[-58.841536470083,-27.46485514135]]}"
225,400,,,"{""type"":""LineString"",""coordinates"":[[-58.8412988035551,-27.4615821797433],[-58.8413705650946,-27.462592604917]]}"
154,1100,16,1,"{""type"":""LineString"",""coordinates"":[[-58.8365910449826,-27.4665282014353],[-58.8355241452928,-27.4666124675049]]}"
148,1601,15,6,"{""type"":""LineString"",""coordinates"":[[-58.8301760760783,-27.465877101019],[-58.8290406789296,-27.465975188564]]}"
155,1600,13,4,"{""type"":""LineString"",""coordinates"":[[-58.8303117480027,-27.4670224507908],[-58.8291930194511,-27.4671082013945]]}"
25,801,13,7,"{""type"":""LineString"",""coordinates"":[[-58.8402594106798,-27.464971041639],[-58.8390478999998,-27.4650691999999]]}"
20,701,18,2,"{""type"":""LineString"",""coordinates"":[[-58.841573699506,-27.4671540381471],[-58.8405575804759,-27.4672309614532]]}"
30,800,13,3,"{""type"":""LineString"",""coordinates"":[[-58.8403794808347,-27.4662269249473],[-58.8391423591173,-27.4663258042608]]}"
31,1300,15,5,"{""type"":""LineString"",""coordinates"":[[-58.834182689743,-27.4667218790719],[-58.8330372781883,-27.4668211086874]]}"
12,1000,13,2,"{""type"":""LineString"",""coordinates"":[[-58.8379064019957,-27.4664238087484],[-58.836696576119,-27.4665137619971]]}"
65,1501,10,4,"{""type"":""LineString"",""coordinates"":[[-58.8314572818876,-27.4657496395671],[-58.830311670139,-27.4658592296166]]}"
157,701,14,5,"{""type"":""LineString"",""coordinates"":[[-58.8414136499078,-27.4648622986591],[-58.8403729957873,-27.4649582657051]]}"
80,1500,15,5,"{""type"":""LineString"",""coordinates"":[[-58.8315984837605,-27.4669473876039],[-58.83042859758,-27.4670176102353]]}"
46,1201,16,2,"{""type"":""LineString"",""coordinates"":[[-58.8352876687664,-27.4654099541441],[-58.8341404792816,-27.4654975029132]]}"
130,1200,14,2,"{""type"":""LineString"",""coordinates"":[[-58.835414717964,-27.4666176771321],[-58.8343087320581,-27.4667107941046]]}"
19,801,15,2,"{""type"":""LineString"",""coordinates"":[[-58.8404438934976,-27.4672396391329],[-58.8392114060178,-27.4673369692054]]}"
2,900,11,3,"{""type"":""LineString"",""coordinates"":[[-58.8390271264457,-27.466334245573],[-58.8380142145176,-27.4664115583506]]}"
45,1401,16,3,"{""type"":""LineString"",""coordinates"":[[-58.8327523145877,-27.4656429125612],[-58.8315779165852,-27.4657371205926]]}"
131,1601,14,2,"{""type"":""LineString"",""coordinates"":[[-58.8304097999998,-27.4681237],[-58.8292832999997,-27.468213]]}"
103,1401,18,3,"{""type"":""LineString"",""coordinates"":[[-58.8337452814447,-27.4746134966539],[-58.8325956677348,-27.4747191629006]]}"
39,1101,11,7,"{""type"":""LineString"",""coordinates"":[[-58.837347410164,-27.4742898716122],[-58.8363817415978,-27.4743723629414]]}"
134,1501,14,7,"{""type"":""LineString"",""coordinates"":[[-58.8322166346952,-27.4724723228324],[-58.8310587083825,-27.4725982993155]]}"
18,1201,11,6,"{""type"":""LineString"",""coordinates"":[[-58.8360157286067,-27.4721029315535],[-58.8349926348595,-27.4722018621469]]}"
170,801,35,,"{""type"":""LineString"",""coordinates"":[[-58.8407521348422,-27.4716225906224],[-58.8395576402138,-27.4717327061229]]}"
38,1501,17,5,"{""type"":""LineString"",""coordinates"":[[-58.8324676672384,-27.4747301913931],[-58.8313124300958,-27.4748420889878]]}"
101,1201,14,1,"{""type"":""LineString"",""coordinates"":[[-58.8362441689196,-27.4743830313041],[-58.8352897382271,-27.4744695780156]]}"
117,901,13,5,"{""type"":""LineString"",""coordinates"":[[-58.8393871993911,-27.4717976712272],[-58.8385973441183,-27.4718647761467]]}"
17,1301,10,4,"{""type"":""LineString"",""coordinates"":[[-58.8348661066835,-27.4722052502361],[-58.8338712627291,-27.4722997079487],[-58.8336180456238,-27.4723217270979]]}"
8,1001,15,,"{""type"":""LineString"",""coordinates"":[[-58.8384860999998,-27.4718838999999],[-58.8372820931631,-27.4719912075198]]}"
68,1401,19,,"{""type"":""LineString"",""coordinates"":[[-58.833436868117,-27.4723203362094],[-58.832344243302,-27.4724340381491]]}"
228,,7,,"{""type"":""LineString"",""coordinates"":[[-58.8269178231527,-27.4661729160829],[-58.8264228063205,-27.4662246844671]]}"
40,1001,16,6,"{""type"":""LineString"",""coordinates"":[[-58.8386810933774,-27.4741623206173],[-58.8374830563022,-27.474264172007]]}"
59,1301,17,7,"{""type"":""LineString"",""coordinates"":[[-58.8351479263503,-27.4744834474454],[-58.8338633597827,-27.4746011450937]]}"
227,,7,,"{""type"":""LineString"",""coordinates"":[[-58.8275197167605,-27.4661189207632],[-58.8270432836763,-27.4661696699207]]}"
226,1701,12,,"{""type"":""LineString"",""coordinates"":[[-58.826340085985,-27.4662381535016],[-58.8250697983206,-27.466347506877]]}"
229,1200,9,,"{""type"":""LineString"",""coordinates"":[[-58.8333759853065,-27.4713295918533],[-58.8334788557299,-27.4723146140046]]}"
48,1500,20,2,"{""type"":""LineString"",""coordinates"":[[-58.8313534350656,-27.4648314060576],[-58.8301743350795,-27.4649644414968]]}"
162,1200,14,4,"{""type"":""LineString"",""coordinates"":[[-58.8351754309854,-27.4644155153364],[-58.8340350514372,-27.4645522903945]]}"
230,1000,16,4,"{""type"":""LineString"",""coordinates"":[[-58.838123927118,-27.4685862790005],[-58.8369330308996,-27.4686962009849]]}"
231,1200,18,8,"{""type"":""LineString"",""coordinates"":[[-58.8361515832556,-27.4733522698405],[-58.8351717212922,-27.4734432919882]]}"
71,601,21,,"{""type"":""LineString"",""coordinates"":[[-58.8425716849216,-27.462494598497],[-58.8415858587169,-27.4625800406437]]}"
74,1201,17,4,"{""type"":""LineString"",""coordinates"":[[-58.8350156539317,-27.4631165585889],[-58.8338741604841,-27.463213253631]]}"
76,1301,13,5,"{""type"":""LineString"",""coordinates"":[[-58.8337555341523,-27.4632077815621],[-58.8325899665341,-27.4633180815433]]}"
93,1401,17,4,"{""type"":""LineString"",""coordinates"":[[-58.8324733138921,-27.4633280620014],[-58.8313196228302,-27.4634414286868]]}"
149,701,18,4,"{""type"":""LineString"",""coordinates"":[[-58.8412640621319,-27.462604044876],[-58.8401356266766,-27.4626992167005]]}"
156,1001,12,2,"{""type"":""LineString"",""coordinates"":[[-58.8375390645227,-27.4629062798606],[-58.8365295319815,-27.4629698889102]]}"
78,901,12,2,"{""type"":""LineString"",""coordinates"":[[-58.8392262999998,-27.4695018],[-58.8383702999998,-27.4695912]]}"
85,1201,15,4,"{""type"":""LineString"",""coordinates"":[[-58.8357660999998,-27.4698344],[-58.8347093876121,-27.4699348011578]]}"
105,1101,16,2,"{""type"":""LineString"",""coordinates"":[[-58.8369120409061,-27.4697200421707],[-58.8358849336678,-27.4698235202959]]}"
110,801,16,4,"{""type"":""LineString"",""coordinates"":[[-58.840596704312,-27.4693757245594],[-58.8393537974665,-27.4694914867161]]}"
129,1301,17,4,"{""type"":""LineString"",""coordinates"":[[-58.8345929999998,-27.4699428999999],[-58.8333831076779,-27.4700688700065]]}"
143,1501,15,4,"{""type"":""LineString"",""coordinates"":[[-58.8319654999999,-27.4702096],[-58.8308113871244,-27.4703157316061]]}"
47,1400,16,6,"{""type"":""LineString"",""coordinates"":[[-58.8326375166086,-27.4646959054963],[-58.8314662815107,-27.4648152960441]]}"
22,600,20,5,"{""type"":""LineString"",""coordinates"":[[-58.8427265310979,-27.4636894025148],[-58.8414655074144,-27.4638021599513]]}"
169,900,10,8,"{""type"":""LineString"",""coordinates"":[[-58.8266938363613,-27.4685702983097],[-58.8268071737167,-27.46954979042]]}"
171,800,16,6,"{""type"":""LineString"",""coordinates"":[[-58.8265494564274,-27.467314392792],[-58.8266774633058,-27.4684418041656]]}"
161,1400,17,,"{""type"":""LineString"",""coordinates"":[[-58.8333344909294,-27.4713290925234],[-58.8322312434104,-27.4714514715228]]}"
95,900,13,4,"{""type"":""LineString"",""coordinates"":[[-58.8393199023163,-27.4707534873964],[-58.8384895576705,-27.4708314351093]]}"
77,1200,9,7,"{""type"":""LineString"",""coordinates"":[[-58.8358992779046,-27.4710712001175],[-58.8348617016013,-27.471166578429]]}"
13,1000,18,6,"{""type"":""LineString"",""coordinates"":[[-58.8383644928536,-27.4708482428372],[-58.8371495951691,-27.4709621697916]]}"
90,1400,16,8,"{""type"":""LineString"",""coordinates"":[[-58.8336356823414,-27.4735974967796],[-58.8324894448765,-27.4737081934346]]}"
150,800,32,,"{""type"":""LineString"",""coordinates"":[[-58.8406685525017,-27.4706734986623],[-58.8395170713595,-27.47077825477],[-58.8394940452323,-27.4707802862966]]}"
128,1500,15,5,"{""type"":""LineString"",""coordinates"":[[-58.8320930185245,-27.4714564742324],[-58.83094126546,-27.4715721468826]]}"
91,1500,16,7,"{""type"":""LineString"",""coordinates"":[[-58.8323519650759,-27.4737165695132],[-58.8311982782881,-27.4738242866383]]}"
37,1600,14,8,"{""type"":""LineString"",""coordinates"":[[-58.8310596626496,-27.4738390363574],[-58.8299034461348,-27.4739432909929]]}"
232,1400,19,6,"{""type"":""LineString"",""coordinates"":[[-58.831202195032,-27.4738454185111],[-58.8313134746054,-27.4748215548341]]}"
16,1300,14,8,"{""type"":""LineString"",""coordinates"":[[-58.8350192676874,-27.4734702905347],[-58.8337606978231,-27.4735857274948]]}"
89,1600,18,6,"{""type"":""LineString"",""coordinates"":[[-58.8308090599705,-27.4715888401709],[-58.8296549147815,-27.4717014962558]]}"
1,1100,14,8,"{""type"":""LineString"",""coordinates"":[[-58.8370265888513,-27.469839921641],[-58.8371306368375,-27.4708379113563]]}"
136,500,18,1,"{""type"":""LineString"",""coordinates"":[[-58.8364280353741,-27.4631083558526],[-58.8364667095914,-27.4641864163583]]}"
69,1000,16,3,"{""type"":""LineString"",""coordinates"":[[-58.8369129214258,-27.4687000589851],[-58.8370373177151,-27.4697134653491]]}"
75,1300,15,6,"{""type"":""LineString"",""coordinates"":[[-58.8372622270422,-27.4721095425977],[-58.8373682687545,-27.4731283074137]]}"
121,900,18,4,"{""type"":""LineString"",""coordinates"":[[-58.8368071403538,-27.4676435936339],[-58.8368997972027,-27.4685866011834]]}"
4,1200,15,8,"{""type"":""LineString"",""coordinates"":[[-58.8371495951691,-27.4709621697916],[-58.8372482353736,-27.4719462652516]]}"
27,701,17,4,"{""type"":""LineString"",""coordinates"":[[-58.8427174957154,-27.4648885935794],[-58.8427956458811,-27.4659228301554]]}"
116,1001,18,7,"{""type"":""LineString"",""coordinates"":[[-58.8405065676709,-27.4683521874462],[-58.840596704312,-27.4693757245594]]}"
34,900,13,5,"{""type"":""LineString"",""coordinates"":[[-58.84172633441,-27.46727227724],[-58.841788107001,-27.4681146527363]]}"
63,1301,19,1,"{""type"":""LineString"",""coordinates"":[[-58.8408026432464,-27.4717848464237],[-58.8408909606327,-27.4728192944987]]}"
167,1200,35,,"{""type"":""LineString"",""coordinates"":[[-58.8394940452323,-27.4707802862966],[-58.8395576402138,-27.4717327061229]]}"
176,600,15,8,"{""type"":""LineString"",""coordinates"":[[-58.8414655074144,-27.4638021599513],[-58.841536470083,-27.46485514135]]}"
178,500,16,8,"{""type"":""LineString"",""coordinates"":[[-58.8413836213646,-27.4626973763906],[-58.8414553840062,-27.4637078014084]]}"
115,901,14,4,"{""type"":""LineString"",""coordinates"":[[-58.8404490609864,-27.467358334956],[-58.8405086524207,-27.4682244517704]]}"
152,1201,35,,"{""type"":""LineString"",""coordinates"":[[-58.8406685525017,-27.4706734986623],[-58.8407521348422,-27.4716225906224]]}"
70,1400,24,,"{""type"":""LineString"",""coordinates"":[[-58.8373806223226,-27.4732519997747],[-58.8374830563022,-27.474264172007]]}"
102,1401,17,5,"{""type"":""LineString"",""coordinates"":[[-58.8409078869542,-27.4729577974046],[-58.8409984933822,-27.4739369957893]]}"
6,1101,18,2,"{""type"":""LineString"",""coordinates"":[[-58.8406010133148,-27.4695016076447],[-58.8406850118781,-27.4705043995142]]}"
97,1100,21,1,"{""type"":""LineString"",""coordinates"":[[-58.8393827248002,-27.4696110634898],[-58.8394525463358,-27.4706148652685]]}"
28,701,17,6,"{""type"":""LineString"",""coordinates"":[[-58.8402741775182,-27.4650741580038],[-58.8403824955979,-27.4661362174217]]}"
26,700,13,1,"{""type"":""LineString"",""coordinates"":[[-58.8415486107524,-27.4649745463595],[-58.8416280770972,-27.4660385249909]]}"
166,901,15,,"{""type"":""LineString"",""coordinates"":[[-58.8277928600242,-27.4684746401694],[-58.8279249968354,-27.4694351364966]]}"
107,1001,14,4,"{""type"":""LineString"",""coordinates"":[[-58.8279541999998,-27.4695635],[-58.8280683606141,-27.4705766836029]]}"
175,801,13,8,"{""type"":""LineString"",""coordinates"":[[-58.8277379438658,-27.4672232050222],[-58.8277942996397,-27.4683587791287]]}"
180,801,17,5,"{""type"":""LineString"",""coordinates"":[[-58.8290327351009,-27.4671209897437],[-58.8291336949667,-27.4682424545752]]}"
35,1201,15,6,"{""type"":""LineString"",""coordinates"":[[-58.8295132283643,-27.4717088336737],[-58.8296349710019,-27.47272450943]]}"
109,1001,15,7,"{""type"":""LineString"",""coordinates"":[[-58.8292617813826,-27.4694356627745],[-58.8293799116856,-27.4704490692626]]}"
142,901,9,5,"{""type"":""LineString"",""coordinates"":[[-58.8291689999998,-27.4683686],[-58.8292599999998,-27.4692604]]}"
23,1300,16,7,"{""type"":""LineString"",""coordinates"":[[-58.8350191471199,-27.4723136533062],[-58.835138738222,-27.4733355964986]]}"
15,1501,9,6,"{""type"":""LineString"",""coordinates"":[[-58.8362507095516,-27.4745129669491],[-58.8363605074207,-27.4755327308381]]}"
192,,,,"{""type"":""LineString"",""coordinates"":[[-58.8299081999998,-27.463552],[-58.8287829999998,-27.4636353]]}"
194,,,,"{""type"":""LineString"",""coordinates"":[[-58.8312090999998,-27.4634389],[-58.8300436999998,-27.4635413]]}"
195,,,,"{""type"":""LineString"",""coordinates"":[[-58.8323633999998,-27.4624882],[-58.8313027999998,-27.462607]]}"
196,,,,"{""type"":""LineString"",""coordinates"":[[-58.8322710999998,-27.4613043],[-58.8323820999998,-27.4623465]]}"
200,,,,"{""type"":""LineString"",""coordinates"":[[-58.8312414313116,-27.4626393343483],[-58.8313348310882,-27.4634060343623]]}"
36,1301,13,5,"{""type"":""LineString"",""coordinates"":[[-58.8296497187127,-27.4728403636019],[-58.829761715907,-27.4738483339902]]}"
193,,,,"{""type"":""LineString"",""coordinates"":[[-58.8286703999998,-27.4638053999999],[-58.8287818999998,-27.4649508]]}"
151,601,15,3,"{""type"":""LineString"",""coordinates"":[[-58.8351754309854,-27.4644155153364],[-58.8352876687664,-27.4654099541441]]}"
173,1200,10,6,"{""type"":""LineString"",""coordinates"":[[-58.8348617016013,-27.471166578429],[-58.8349926348595,-27.4722018621469]]}"
106,600,13,1,"{""type"":""LineString"",""coordinates"":[[-58.8340203456983,-27.4645691289899],[-58.8341404792816,-27.4654975029132]]}"
99,1401,17,2,"{""type"":""LineString"",""coordinates"":[[-58.8361483265968,-27.4733672431416],[-58.8362441689196,-27.4743830313041]]}"
146,1400,18,2,"{""type"":""LineString"",""coordinates"":[[-58.8351608155175,-27.4734610882305],[-58.8352897382271,-27.4744695780156]]}"
145,1100,13,5,"{""type"":""LineString"",""coordinates"":[[-58.834724772411,-27.4700532013614],[-58.8348421436036,-27.4710555601081]]}"
67,1200,14,2,"{""type"":""LineString"",""coordinates"":[[-58.8356584192245,-27.4688166601621],[-58.8345790304841,-27.4689213433304]]}"
100,1301,16,6,"{""type"":""LineString"",""coordinates"":[[-58.8360282192652,-27.4722207039141],[-58.8361410207933,-27.4732389686636]]}"
153,701,12,5,"{""type"":""LineString"",""coordinates"":[[-58.8352927231814,-27.4655089469488],[-58.8353995090511,-27.4665248032997]]}"
73,1000,6,5,"{""type"":""LineString"",""coordinates"":[[-58.8345790304841,-27.4689213433304],[-58.8347093876121,-27.4699348011578]]}"
113,400,17,,"{""type"":""LineString"",""coordinates"":[[-58.8338053491954,-27.4623113234244],[-58.8338741604841,-27.463213253631]]}"
96,1201,10,5,"{""type"":""LineString"",""coordinates"":[[-58.8358992779046,-27.4710712001175],[-58.8360157286067,-27.4721029315535]]}"
98,1101,8,6,"{""type"":""LineString"",""coordinates"":[[-58.8357812760458,-27.4699517405527],[-58.8358863293467,-27.4709546626819]]}"
84,501,13,5,"{""type"":""LineString"",""coordinates"":[[-58.8350304999998,-27.4632434],[-58.8351533999998,-27.4642821]]}"
66,1001,15,2,"{""type"":""LineString"",""coordinates"":[[-58.8356584192245,-27.4688166601621],[-58.8357660999998,-27.4698344]]}"
51,700,15,3,"{""type"":""LineString"",""coordinates"":[[-58.8341720999998,-27.4656384],[-58.8342906999998,-27.4665453999999]]}"
81,600,17,3,"{""type"":""LineString"",""coordinates"":[[-58.8429400277069,-27.4681763854425],[-58.8417966075838,-27.4682348532592]]}"
111,800,19,4,"{""type"":""LineString"",""coordinates"":[[-58.8405065676709,-27.4683521874462],[-58.8392867751439,-27.4684704446138]]}"
21,700,13,5,"{""type"":""LineString"",""coordinates"":[[-58.841661078988,-27.4682412220728],[-58.8406525761978,-27.4683380296571]]}"
133,1600,9,3,"{""type"":""LineString"",""coordinates"":[[-58.8305515201211,-27.4693084253698],[-58.8293913923779,-27.4694233165643]]}"
119,900,9,4,"{""type"":""LineString"",""coordinates"":[[-58.8391571869779,-27.4684807991788],[-58.8382408324155,-27.4685783573929]]}"
55,1300,11,4,"{""type"":""LineString"",""coordinates"":[[-58.8344689824702,-27.4689291889211],[-58.833259461935,-27.4690380769448]]}"
147,1001,5,4,"{""type"":""LineString"",""coordinates"":[[-58.8331435283989,-27.4690603563243],[-58.8332507664849,-27.4700766707485]]}"
